ID,优先纳入,PC,role,value
2BT22060700019,FIRST,1,Contaminating,-0.00234235
2BT22060700019,FIRST,2,Contaminating,-0.0142283
2BT22060700019,FIRST,3,Contaminating,0.040747
2BT22060700019,FIRST,4,Contaminating,0.0367744
2BT22060700020,FIRST,1,Contaminating,-0.00586686
2BT22060700020,FIRST,2,Contaminating,-0.024174
2BT22060700020,FIRST,3,Contaminating,-0.0117005
2BT22060700020,FIRST,4,Contaminating,0.0201252
2BT22060700021,FIRST,1,Contaminating,0.00140394
2BT22060700021,FIRST,2,Contaminating,0.0147785
2BT22060700021,FIRST,3,Contaminating,-0.0173174
2BT22060700021,FIRST,4,Contaminating,0.0113438
2BT22060700022,FIRST,1,Contaminating,-0.0207379
2BT22060700022,FIRST,2,Contaminating,-0.0206372
2BT22060700022,FIRST,3,Contaminating,-0.00239632
2BT22060700022,FIRST,4,Contaminating,0.0491218
2BT22060700023,FIRST,1,Contaminating,-0.00691777
2BT22060700023,FIRST,2,Contaminating,-0.0200256
2BT22060700023,FIRST,3,Contaminating,-0.012108
2BT22060700023,FIRST,4,Contaminating,0.00984842
2BT22060700024,FIRST,1,Contaminating,0.0018972
2BT22060700024,FIRST,2,Contaminating,-0.00589757
2BT22060700024,FIRST,3,Contaminating,0.0427355
2BT22060700024,FIRST,4,Contaminating,0.0502571
2BT22060700025,FIRST,1,Contaminating,-0.00145381
2BT22060700025,FIRST,2,Contaminating,-0.0159653
2BT22060700025,FIRST,3,Contaminating,-0.00982926
2BT22060700025,FIRST,4,Contaminating,0.00657035
2BT22060700026,FIRST,1,Contaminating,-0.0117858
2BT22060700026,FIRST,2,Contaminating,-0.0195879
2BT22060700026,FIRST,3,Contaminating,-0.0144308
2BT22060700026,FIRST,4,Contaminating,-0.0395162
2BT22060700027,FIRST,1,Contaminating,0.00515473
2BT22060700027,FIRST,2,Contaminating,-0.0333271
2BT22060700027,FIRST,3,Contaminating,-0.0214355
2BT22060700027,FIRST,4,Contaminating,0.0287416
2BT22060700028,FIRST,1,Contaminating,-0.0045495
2BT22060700028,FIRST,2,Contaminating,-0.00326052
2BT22060700028,FIRST,3,Contaminating,-0.0460016
2BT22060700028,FIRST,4,Contaminating,0.0518828
2BT22060700029,FIRST,1,Contaminating,-0.0107763
2BT22060700029,FIRST,2,Contaminating,-0.00528996
2BT22060700029,FIRST,3,Contaminating,-0.0107949
2BT22060700029,FIRST,4,Contaminating,0.0433042
2BT22060700030,FIRST,1,Contaminating,-0.00538308
2BT22060700030,FIRST,2,Contaminating,-0.0519992
2BT22060700030,FIRST,3,Contaminating,-0.0184637
2BT22060700030,FIRST,4,Contaminating,0.0159565
2ZDM,FIRST,1,Contaminating,0.0314482
2ZDM,FIRST,2,Contaminating,-0.029093
2ZDM,FIRST,3,Contaminating,0.0437
2ZDM,FIRST,4,Contaminating,-0.0799161
3hFib,FIRST,1,Contaminating,-0.00955864
3hFib,FIRST,2,Contaminating,0.0255589
3hFib,FIRST,3,Contaminating,-0.143135
3hFib,FIRST,4,Contaminating,-0.0662671
3LJW,FIRST,1,Contaminating,-0.00492186
3LJW,FIRST,2,Contaminating,0.000171873
